Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker,Insider Activity
Shopify Inc,Technology,Software - Application,Canada,NASD,NDX,86.85,1.24,6.39%,1.22B,5.26%,139.73B,60.04,1.79,0.00%,1.21B,8.88%,1.61B,3.51,0.29,66.39%,1.54%,-2.82%,9.38B,14.90,10.95%,0.97%,1.37,0.69%,8.52,12.64,28.30%,13.14%,18.71M,89.05%,4.25,25.34,24.73%,16.15%,48.56,129.38,1.29%,0.83 (0.77%),82.41,-,14.31%,-16.76%,2.64,-,3.71,43.27%,49.87%,121.79%,4.86,-,3.71,857.29%,15.53%,58.86,2.85%,3.79%,8100,0.10,26.52%,17.17%,1.80,113.27,Yes / Yes,0.02,-148.23%,0.00%,0.48,107.11,1.12%,-2.07%,26.81%,May 08 BMO,13.64M,107.70,4.70%,11.41%,11.80%,"

","6,642,102",0.55%,SHOP,0.0
Bank Of New York Mellon Corp,Financial,Banks - Diversified,USA,NYSE,S&P 500,14.52,6.14,0.29%,715.43M,0.19%,63.72B,11.72,7.60,-4.65%,713.34M,11.28%,4.53B,1.14,1.74,88.56%,1.13%,2.51%,39.92B,1.60,16.89%,-1.36%,1.86,11.14%,52.82,1.69,12.13%,1.08%,8.09M,50.74%,-,-,12.77%,11.29%,57.18,90.62,15.93%,1.95 (2.19%),27.84,5.14%,6.13%,-1.72%,1.08,1.88 (2.11%),-,17.60%,-,55.77%,1.74,"Apr 21, 2025",1.91,49.77%,14.48%,63.76,1.19%,0.91%,51800,1.64,10.30%,11.35%,1.89,94.00,Yes / Yes,0.72,26.35%,30.71%,0.87,88.80,0.59%,4.99%,1.93%,Apr 11 BMO,4.35M,89.07,2.28%,7.74%,13.11%,"

","3,767,714",0.30%,BK,-0.04650000000000001
New York Times Co,Communication Services,Publishing,USA,NYSE,-,30.81,1.83,2.22%,162.54M,3.12%,9.21B,24.21,2.33,-1.08%,159.43M,9.45%,302.96M,3.33,0.51,94.25%,5.41%,18.00%,2.63B,3.51,7.10%,-0.51%,4.89,4.32%,11.54,4.90,8.40%,11.31%,8.63M,13.25%,3.20,17.65,9.24%,16.68%,44.83,58.16,8.55%,0.69 (1.22%),21.70,16.23%,16.07%,-2.85%,1.12,0.57 (1.01%),1.44,7.54%,46.31%,26.03%,0.97,"Apr 01, 2025",1.44,21.26%,14.45%,75.63,0.89%,0.83%,5900,0.00,6.85%,11.53%,2.00,57.78,Yes / Yes,0.00,24.02%,29.34%,1.49,55.44,0.13%,20.02%,7.05%,May 07 BMO,1.76M,56.50,4.01%,10.31%,7.26%,"

","2,603,816",1.91%,NYT,-0.0108
Broadcom Inc,Technology,Semiconductors,USA,NASD,"NDX, S&P 500",116.71,2.07,1.99%,4.70B,5.33%,1137.73B,30.92,7.83,-0.97%,4.61B,26.57%,10.07B,5.08,1.57,77.39%,1.20%,22.33%,54.53B,20.86,35.93%,-0.54%,1.86,47.34%,14.84,16.30,18.22%,6.06%,55.26M,71.87%,1.98,122.24,22.97%,14.85%,128.50,251.88,4.37%,2.37 (0.98%),54.87,13.91%,7.71%,-3.93%,1.12,2.23 (0.92%),0.91,18.69%,59.59%,88.30%,7.90,"Mar 20, 2025",1.00,-22.79%,34.82%,75.12,1.56%,2.04%,37000,0.95,40.30%,18.47%,1.41,247.33,Yes / Yes,0.87,301.09%,170.61%,0.70,239.43,2.05%,6.12%,24.71%,Jun 05 AMC,29.64M,241.97,9.04%,24.14%,26.33%,"

","20,768,032",1.06%,AVGO,-0.0097
Lockheed Martin Corp,Industrials,Aerospace & Defense,USA,NYSE,S&P 500,20.46,23.15,0.08%,234.30M,0.73%,110.98B,15.81,29.95,-4.44%,234.11M,-0.46%,5.50B,1.57,6.65,74.52%,1.02%,6.10%,71.81B,1.55,22.83%,-0.66%,1.49,-12.64%,28.68,16.52,9.31%,9.86%,2.39M,1.36%,7.70,61.55,13.00%,82.55%,418.88,618.95,-2.52%,13.36 (2.82%),22.26,0.32%,21.71%,-23.47%,0.28,12.90 (2.72%),0.91,3.56%,10.23%,13.08%,10.16,"Jun 02, 2025",1.08,-15.29%,10.23%,53.68,1.36%,1.40%,121000,3.04,3.12%,7.66%,2.35,521.00,Yes / Yes,2.79,13.78%,57.16%,0.53,469.98,1.04%,14.88%,4.47%,Apr 22 BMO,1.60M,473.69,0.74%,2.34%,-6.64%,"

","851,603",0.79%,LMT,-0.0444
"Waste Management, Inc",Industrials,Waste Management,USA,NYSE,S&P 500,35.86,6.63,0.24%,402.37M,1.56%,95.68B,27.64,8.60,-15.94%,401.45M,3.92%,2.67B,3.64,1.90,82.92%,0.79%,3.55%,22.92B,4.17,5.74%,-0.57%,1.75,5.95%,21.50,11.06,12.53%,6.93%,3.18M,13.86%,0.65,367.99,9.85%,34.01%,196.59,239.32,17.83%,3.27 (1.38%),52.08,11.75%,8.48%,-0.65%,0.66,3.08 (1.29%),0.79,7.57%,28.89%,20.94%,3.81,"Jun 06, 2025",0.83,8.38%,18.16%,61.61,0.77%,1.13%,61700,2.76,10.77%,11.67%,2.07,253.16,Yes / Yes,2.65,-10.12%,44.07%,0.69,237.15,-1.47%,5.31%,16.65%,Apr 28 AMC,1.82M,237.76,2.29%,3.34%,8.71%,"

","1,257,459",0.26%,WM,-0.1594
Eaton Corporation plc,Industrials,Specialty Industrial Machinery,Ireland,NYSE,S&P 500,32.79,9.91,0.23%,391.30M,0.77%,127.10B,23.98,13.55,-18.45%,390.40M,11.74%,3.94B,2.80,2.93,84.43%,2.07%,11.86%,25.31B,5.02,11.25%,-0.86%,2.44,-13.94%,47.29,6.87,12.75%,10.13%,8.07M,-4.72%,4.96,65.55,11.70%,20.84%,231.85,379.99,-2.13%,3.99 (1.23%),38.31,12.57%,14.70%,-14.52%,1.15,3.96 (1.22%),0.84,3.63%,38.43%,40.09%,8.87,"May 05, 2025",1.31,16.84%,19.80%,62.74,1.30%,1.44%,94000,0.58,7.00%,15.55%,1.97,347.86,Yes / Yes,0.45,19.89%,39.58%,0.48,325.67,2.02%,0.53%,7.30%,May 02 BMO,3.32M,324.81,2.21%,10.46%,1.63%,"

","1,618,185",-0.26%,ETN,-0.1845
Verisign Inc,Technology,Software - Infrastructure,USA,NASD,S&P 500,32.84,8.18,1.01%,94.10M,-4.41%,25.23B,28.54,9.41,91.14%,92.95M,-3.48%,790.90M,3.02,2.20,96.04%,2.19%,14.32%,1.58B,16.01,9.82%,-0.89%,2.18,48.63%,-21.01,-,7.15%,49.81%,2.04M,56.97%,6.91,38.90,10.88%,-,168.79,288.95,29.82%,2.30 (0.85%),27.83,9.22%,-,-7.02%,0.76,0.77 (0.29%),0.56,4.82%,87.83%,59.18%,5.74,"May 19, 2025",0.56,0.54%,67.95%,44.60,1.70%,1.20%,932,-,4.12%,50.20%,2.86,308.00,Yes / Yes,-,9.28%,0.00%,0.77,269.14,0.09%,-0.30%,4.68%,Apr 24 AMC,937.30K,268.68,-3.97%,2.34%,25.12%,"

","720,281",-0.17%,VRSN,0.9114
Analog Devices Inc,Technology,Semiconductors,USA,NASD,"NDX, S&P 500",58.73,3.67,0.29%,496.25M,-2.91%,107.07B,24.15,8.93,-7.54%,494.79M,11.98%,1.83B,3.35,1.93,89.41%,1.74%,-3.62%,9.82B,10.90,15.90%,-0.82%,1.96,0.54%,70.55,3.06,20.82%,3.81%,8.58M,-7.21%,4.79,45.06,17.51%,5.21%,158.65,247.10,1.55%,3.91 (1.81%),32.51,-2.10%,4.40%,-12.69%,1.01,3.75 (1.74%),1.51,13.47%,51.10%,35.99%,6.68,"Jun 04, 2025",2.08,-14.16%,23.48%,56.22,1.74%,2.35%,24000,0.21,-6.17%,18.65%,1.91,245.30,Yes / Yes,0.19,88.68%,110.40%,0.87,215.62,5.05%,9.05%,22.28%,May 22 BMO,4.37M,215.75,1.09%,7.97%,0.12%,"

","3,800,393",0.06%,ADI,-0.0754
Verisk Analytics Inc,Industrials,Consulting Services,USA,NASD,"NDX, S&P 500",46.03,6.83,0.26%,139.96M,0.64%,43.97B,39.88,7.88,-4.72%,139.52M,7.51%,970.90M,4.73,1.77,93.39%,2.06%,8.35%,2.93B,15.00,6.25%,-0.93%,3.13,8.11%,0.88,357.65,11.73%,20.04%,2.87M,24.94%,7.96,39.50,9.73%,475.86%,245.01,317.81,14.12%,1.61 (0.51%),44.23,19.95%,27.65%,-1.10%,0.88,1.62 (0.52%),1.27,2.30%,58.46%,28.29%,5.47,"Jun 13, 2025",1.27,27.36%,43.59%,62.66,0.54%,1.31%,7800,32.00,7.20%,33.13%,2.45,315.38,Yes / Yes,27.55,8.06%,23.26%,0.84,315.96,0.42%,2.80%,6.96%,May 07 BMO,917.91K,314.32,2.31%,5.72%,10.77%,"

","774,120",-0.52%,VRSK,-0.0472
Procter & Gamble Co,Consumer Defensive,Household & Personal Products,USA,NYSE,"DJIA, S&P 500",26.77,6.30,0.07%,2.34B,1.89%,395.20B,24.07,7.00,-11.00%,2.34B,3.88%,15.21B,6.55,1.42,69.76%,0.84%,-1.98%,83.93B,4.71,2.83%,-0.04%,2.28,-4.38%,21.96,7.68,3.34%,12.78%,19.62M,1.95%,3.89,43.35,4.09%,30.29%,156.58,180.43,0.54%,4.01 (2.38%),26.30,33.28%,19.87%,-6.58%,0.43,4.08 (2.42%),0.50,4.44%,51.40%,7.65%,2.82,"Apr 21, 2025",0.71,2.74%,23.39%,61.78,0.58%,1.05%,108000,0.65,-0.16%,18.12%,1.81,173.81,Yes / Yes,0.46,1.30%,63.61%,0.56,167.36,-1.88%,1.32%,-2.07%,Apr 24 BMO,8.60M,168.56,3.80%,2.51%,0.06%,"

","4,842,554",0.72%,PG,-0.11
Unilever plc ADR,Consumer Defensive,Household & Personal Products,United Kingdom,NYSE,-,25.66,2.48,0.01%,2.50B,0.17%,158.79B,17.67,3.60,0.00%,2.50B,0.68%,6.21B,3.58,-,8.82%,0.11%,12.57%,65.72B,2.42,9.46%,-1.82%,0.99,8.46%,8.36,7.60,5.71%,7.50%,2.70M,16.51%,3.10,20.54,7.16%,30.53%,53.50,65.87,12.12%,2.08 (3.27%),19.85,0.71%,13.50%,-3.49%,0.42,1.94 (3.05%),0.56,2.50%,-,18.82%,0.84,"May 16, 2025",0.76,-10.59%,18.40%,57.09,0.62%,1.04%,120040,1.53,1.99%,9.45%,2.29,65.62,Yes / Yes,1.22,-29.68%,74.45%,0.78,63.30,-2.21%,10.26%,1.69%,Feb 13 BMO,2.73M,63.57,1.20%,3.06%,5.29%,"

","2,144,575",0.43%,UL,0.0
Airbnb Inc,Consumer Cyclical,Travel Services,USA,NASD,"NDX, S&P 500",32.30,3.97,32.97%,433.00M,0.66%,80.41B,26.58,4.83,-1.91%,413.74M,2.29%,2.54B,2.91,0.93,54.88%,3.77%,-7.95%,11.23B,7.16,1.48%,1.19%,2.66,-6.54%,12.82,10.01,15.77%,10.24%,15.59M,-11.15%,18.41,6.97,11.11%,32.06%,99.88,163.93,-2.32%,-,18.46,-,31.10%,-21.70%,1.14,-,1.27,23.57%,71.47%,28.51%,3.99,-,1.27,-47.83%,22.17%,50.93,1.32%,2.14%,7300,0.29,9.68%,22.60%,2.73,135.53,Yes / Yes,0.03,-39.49%,0.00%,0.79,128.67,0.48%,2.78%,6.07%,May 01 AMC,5.86M,128.36,-1.03%,4.05%,-0.82%,"

","4,681,055",-0.24%,ABNB,-0.0191
Adobe Inc,Technology,Software - Application,USA,NASD,"NDX, S&P 500",27.22,15.18,0.35%,435.00M,-0.16%,176.17B,18.09,22.85,-0.17%,424.72M,11.42%,6.75B,2.37,4.97,83.51%,2.30%,-5.45%,22.04B,7.99,10.66%,-1.57%,2.56,-19.29%,30.10,13.73,12.08%,23.00%,9.76M,-13.06%,17.44,23.70,11.51%,47.28%,332.01,587.75,-7.04%,-,19.17,15.54%,34.47%,-29.67%,1.55,-,1.18,14.19%,88.39%,24.50%,8.41,"Mar 24, 2005",1.18,28.41%,36.64%,65.04,1.22%,1.19%,30709,0.50,10.65%,30.63%,1.81,482.39,Yes / Yes,0.50,204.11%,0.00%,0.46,412.23,0.93%,2.15%,10.27%,Jun 12 AMC,3.82M,413.36,3.35%,8.54%,-10.26%,"

","1,781,393",0.27%,ADBE,-0.0017000000000000001
